"shoppingcartitemid","shoppingcartitemstudentid","shoppingcartitemclassid","shoppingcartitemquantity","shoppingcartid","shoppingcartaddtime"
"862","85","140","1","271m2jmtdqhv9hct259v083jnd","2023-10-30 19:35:03"
"863","492444230","115","1","ie1m56g7k5mr8c09dm91druni0","2023-10-30 21:56:09"
"864","492444230","132","1","ie1m56g7k5mr8c09dm91druni0","2023-10-30 22:19:08"
"865","518285200","115","2","vknpun4uovt64dcpvja3dm9kl7","2023-10-31 17:06:25"
"866","564709944","132","1","pjcrqoh5g7nlob2leo0en35fe6","2023-10-31 18:52:30"
"867","328543604","131","1","lblauc6dh3cu8esuic6pasm0ah","2023-10-31 18:57:57"
"868","81","131","1","p1d1qrp4s31cqa6ohp5f0tj4pr","2023-10-31 19:02:17"
"869","412243773","125","1","09pala8sk588ia62skjd4kvjep","2023-10-31 19:10:32"
"870","401598995","125","1","2f343hfnm0f6jhrt7tvlcuop9g","2023-10-31 19:11:11"
"871","146273681","125","1","dabs46sbqarjue5vdkl8aeml3c","2023-10-31 19:12:02"
"872","259619710","131","1","1pspc0vds3i4br872v30abi1fg","2023-10-31 20:16:35"
"873","87","132","1","khmi6f8alv6haul09hhdg1sfd7","2023-10-31 20:36:02"
"874","87","141","1","khmi6f8alv6haul09hhdg1sfd7","2023-10-31 20:36:18"
"875","557612814","131","1","ln87p3ubopab3d4ieh19nbvlcq","2023-10-31 21:47:44"
"876","279077394","142","1","pttru9i3561va0bnnvkgml5d30","2023-10-31 22:24:22"
"877","857072259","142","1","e0ft8smp788fmva74mpflaem2h","2023-10-31 22:40:45"
"878","639140421","127","2","9l51a98f1dfgucij11i89s08o5","2023-10-31 23:00:55"
"879","176877147","115","1","014b756qdf8s31qcoian7d98fl","2023-11-01 00:09:11"
"880","497681336","128","1","f4o2acveau8ks45hq9ifrk7p41","2023-11-01 00:37:30"
"881","393431684","125","1","3ob9iofl8n4m8tbp4nuc37a63c","2023-11-01 01:37:13"
"882","208285649","115","1","djkvibmt4lc7f0km0ft1o9atg9","2023-11-01 06:14:55"
"883","728727377","125","1","ok8l9drrbsfst70b1n4vjikg0b","2023-11-01 10:15:46"
"884","961308164","114","1","5kemr7s0os6h85c52267uv4km7","2023-11-01 11:06:21"
"885","623779990","132","1","qd3qcvk5mo0nd218eubj0bio4v","2023-11-01 11:23:21"
"886","623779990","121","1","qd3qcvk5mo0nd218eubj0bio4v","2023-11-01 11:24:41"
"887","310896320","121","1","l8v3fh0bain1fcia17bf2cub6f","2023-11-01 11:25:57"
"888","684994707","125","1","f7tpumjedstij6bhl3bc28pi6u","2023-11-01 16:23:57"
"889","170071791","126","1","a1hr09a9af8626djbpgpd0ff9d","2023-11-01 17:18:15"
"890","400054585","126","1","sfcueeq6doo4e5nq2qjgomh7bn","2023-11-01 17:19:17"
"891","933049599","131","1","clb3oqq8b7lte2o5qdkes2s2en","2023-11-01 18:52:05"
"892","513491919","133","1","2gb3sjq6ct03047ffld9kks8d2","2023-11-01 19:29:53"
"893","950553336","131","2","fs5r1uufbjdsri85guu1nnijja","2023-11-01 23:12:07"
"894","734450877","129","1","i5aoea52ns3i38n64fqo4hre6q","2023-11-01 23:14:44"
"895","154717947","129","1","b71ikv0u7s0c2hm7cl528la7gt","2023-11-01 23:16:18"
"896","154717947","131","1","b71ikv0u7s0c2hm7cl528la7gt","2023-11-01 23:16:34"
"897","154717947","133","1","b71ikv0u7s0c2hm7cl528la7gt","2023-11-01 23:16:44"
"898","102385346","121","1","a4hnj16f4rp1v5lkqg6celq0vp","2023-11-01 23:56:23"
"899","80","127","1","6542iabtersp84ll6k3ad80m8p","2023-11-01 23:56:33"
"900","80","128","1","6542iabtersp84ll6k3ad80m8p","2023-11-02 00:00:14"
"901","80","142","1","6542iabtersp84ll6k3ad80m8p","2023-11-02 00:05:59"
"902","80","130","1","6542iabtersp84ll6k3ad80m8p","2023-11-02 00:07:58"
"903","80","131","1","6542iabtersp84ll6k3ad80m8p","2023-11-02 00:10:41"
"905","466459270","128","1","39947vealrfm7u5vdd9aegdrda","2023-11-02 01:25:59"
"909","190766363","121","1","b46eom0iomgoic98dmdcmgmd88","2023-11-02 07:47:52"
"910","886749471","130","1","50t5kmv2qt73rjr0a1ffb7tntc","2023-11-02 09:47:38"
"911","886749471","131","1","50t5kmv2qt73rjr0a1ffb7tntc","2023-11-02 09:47:49"
"912","426953389","129","1","4kkcnu2fpp46s7ec4l3icbkgij","2023-11-02 10:39:10"
"913","426953389","126","1","4kkcnu2fpp46s7ec4l3icbkgij","2023-11-02 10:39:18"
"914","426953389","127","1","4kkcnu2fpp46s7ec4l3icbkgij","2023-11-02 10:39:20"
"915","127227092","128","1","71arnpij89nijp5bgsckg4lic6","2023-11-02 11:35:35"
"916","304072368","131","1","mmpk2vf64lc16ll3s4uti4sl1d","2023-11-02 16:12:29"
"917","653720818","128","1","jcbh3sstqqbm5o5kq4lkrl2pba","2023-11-02 16:28:20"
"918","577000898","132","1","4ol15agr7av4nun4vhnk38ef9m","2023-11-02 22:39:34"
"919","835458078","127","1","4n1jme1936fe2rj565jhn2n2e5","2023-11-03 08:07:40"
"920","835239481","131","2","rnnobd3uvlamuvdtsartnumjkn","2023-11-03 10:18:49"
"921","50","128","1","df2q0mvm71h7gfofj6lvn67rnm","2023-11-03 10:23:22"
"922","856510905","128","1","hu61ppqdekd0f21j0sohfup9kd","2023-11-03 10:26:17"
"923","828486359","132","1","nda934pkav0p381h7j6r1npbcu","2023-11-03 12:34:49"
"924","709235056","129","1","jmpcjk7k2j7860cn18amluc6dt","2023-11-03 13:37:22"
"925","588503565","139","1","bjbej4m3k4gaha03uhhpem5pms","2023-11-03 14:20:32"
"926","588503565","147","1","bjbej4m3k4gaha03uhhpem5pms","2023-11-03 14:20:43"
"927","574487183","149","1","rfdmcjivoq3pllps88faeb0793","2023-11-03 14:25:57"
"928","308048303","131","1","seve485do3hqfa8d135bg0ihef","2023-11-03 16:34:00"
"929","625384878","126","1","ne3hqdi4ocs86gtumgfs95hvcl","2023-11-03 18:35:20"
"930","7","147","2","9ahmmq014h9bjfhoasq8c8l1rf","2023-11-03 18:58:22"
"931","637494743","126","1","4scqs2b7e4i1fihf77qri2fsq3","2023-11-03 20:17:43"
"932","522123215","126","1","980uaiigfrloo3b5jpfi4lnv3v","2023-11-03 21:24:49"
"933","273159855","127","1","tgoounm0d9pkh9ev6govs8mcs1","2023-11-03 22:07:44"
"934","192327891","126","1","0t5unvdmed17q68hs6p1r094lq","2023-11-03 22:16:19"
"935","879518257","126","1","2143vcdueqi32cdcsi5r8497un","2023-11-04 01:30:27"
"936","307358544","152","1","abs140gtqcgb6pqse0u01t7sbt","2023-11-04 07:15:38"
"937","273159855","127","1","2ep0br6d42u93o3srjisp754o8","2023-11-04 08:05:00"
"938","97","126","1","1fqjd14e43s5b2bmm3l903aflj","2023-11-04 09:07:42"
"939","845009095","132","1","g2rcfpujridorlmc0h0e6t3b20","2023-11-04 09:28:22"
"940","862759151","129","1","o1uo6l8sm8g9v11vbq4hr0oj1k","2023-11-04 09:28:53"
"941","859135278","152","1","gqfh8dblpogj51vgtin4og1nmi","2023-11-04 11:05:15"
"942","653753081","121","1","06g4aq3o1rcjl200f7mahcpste","2023-11-04 11:58:30"
"943","653753081","140","1","06g4aq3o1rcjl200f7mahcpste","2023-11-04 11:58:37"
"944","431619382","127","1","h90j7528500kr9l6cdb4johhsn","2023-11-04 12:37:12"
"945","498943534","127","1","gr5em8qst592p1qre3bec1iijb","2023-11-04 15:04:05"
"946","286415326","128","1","47n20rs99ptvhpdc87n1dbnd2s","2023-11-04 15:09:35"
"947","553770247","129","1","h6hu6mhbuecl99r73r997thhv3","2023-11-04 16:16:52"
"948","251944077","128","1","s606ch53ahu9pm91o4ihs1vh2r","2023-11-04 16:55:56"
"949","511614351","152","1","jooupovk46v7eg02vaqkm6uvgf","2023-11-04 19:36:59"
"950","944916811","146","1","vua6hrl7riotn03754luou6rud","2023-11-04 20:25:09"
"951","944916811","152","1","vua6hrl7riotn03754luou6rud","2023-11-04 20:25:13"
"952","511614351","146","1","jooupovk46v7eg02vaqkm6uvgf","2023-11-04 20:39:16"
"953","179862242","129","1","3hkrgg9vnt09bdrss2lmedivoc","2023-11-05 10:32:23"
"954","112949378","142","1","uvc0grspo0lg4vvahm02e6iscc","2023-11-05 11:31:22"
"955","217860606","128","1","u2f2nqaacd7thlad92pjd3js85","2023-11-05 11:59:33"
"957","391507082","131","1","bdiuncum52ahk6k0t1boqp253m","2023-11-05 12:36:16"
"958","97","129","1","31uo73rvkhs5ba90spoa46p4qp","2023-11-05 13:12:02"
"959","274151081","129","1","i6cjklf8vs1vqv31164mrumv1v","2023-11-05 14:01:36"
"960","787532193","132","1","8q9ilmmftkpva7641vjqm85nk0","2023-11-05 14:28:10"
"961","811748609","132","1","551sknqs2rd3mheqqogg2f4hln","2023-11-05 14:42:29"
"962","491507855","152","1","r4qv9f9vt09gb2hbiv5757knke","2023-11-05 17:24:48"
"963","393403566","141","1","jnkn8677uj8ann8sdcp9o12508","2023-11-05 20:35:20"
"964","531780291","133","1","1dbhrov8besfag7m8r3si2gjnt","2023-11-05 21:40:39"
"965","50","133","1","tj7evtbiqrflbc030r7qciqf7i","2023-11-05 21:41:16"
"966","838761707","132","1","pqvninfp6vbroc94upfk4aqqqp","2023-11-05 22:44:42"
"967","88","120","1","2vuvmpjcbbnrdaj0hitre3puuf","2023-11-05 22:49:27"
"968","484087732","121","1","14f9nsmrslqnqnvvq4gse3f2hh","2023-11-05 23:00:40"
"969","51","131","1","b5fippcjtflbp1cnomb59aro49","2023-11-06 07:07:37"
"970","34","141","1","0lbq96bs1qeeq0i14s063n5mg0","2023-11-06 13:53:00"
"971","643790149","142","1","k5vf5ppi0a2a8jcrp9o8di7v56","2023-11-06 19:24:22"
"972","551712608","131","1","evchknhpqfukccd2f43ivmkosn","2023-11-06 19:46:00"
"973","540859738","131","1","n83ro1lrog65e88lqpe1m3ncb5","2023-11-06 22:17:31"
"974","533089556","131","1","id9khlj1d583aoe9au38025317","2023-11-06 22:20:09"
"975","225597894","132","1","j1ld75snhpl9hetg8nkg0kaimd","2023-11-06 22:59:02"
"976","591497155","132","1","npd1im299bkd9kk1lp0022fs26","2023-11-06 23:01:02"
"977","314472596","133","1","8afc42654jvi0fvptns512qpu8","2023-11-07 00:40:27"
"978","314472596","152","1","8afc42654jvi0fvptns512qpu8","2023-11-07 00:40:56"
"979","104","133","1","vbc7oj57gbg3jruqbj8a7preir","2023-11-07 01:06:55"
"980","680539920","120","3","8i4k94mp1kv136vd565dbqj0di","2023-11-07 01:49:03"
"981","680539920","121","3","8i4k94mp1kv136vd565dbqj0di","2023-11-07 01:52:33"
"982","528822219","132","1","g12j8gqlvpcbhni87ct19jaobn","2023-11-07 16:03:06"
"983","929465028","132","1","ut7p22k2qi0mapqcpib4ihikkk","2023-11-07 16:04:57"
"984","816685042","131","1","u1qm5baocc7o7vll5sfro6dspo","2023-11-07 17:25:15"
"985","318387574","121","1","mp0obm53iebtthdj715vgieidb","2023-11-07 21:11:32"
"986","678385489","141","1","h0bvka8l3uga87ludoegdb4s6r","2023-11-07 21:39:34"
"987","180071774","120","2","ot1ltu18q1mdldtmnqhp80d5fq","2023-11-07 21:59:56"
"991","185235988","121","1","g0jgi8hvcqfs1vs29b78hmjai6","2023-11-08 13:36:26"
"992","906765859","138","1","kl5j6vclm3pneclic717jsdrqo","2023-11-08 13:59:43"
"993","906765859","136","1","kl5j6vclm3pneclic717jsdrqo","2023-11-08 14:00:11"
"994","318387574","121","1","ooatutk38df1h9pj9sp7shrc62","2023-11-08 15:02:36"
"995","895335885","134","1","4clcm6ve1p0k7ad81v4f3nnple","2023-11-08 18:02:50"
"997","50","142","1","90pmcd73abkd9l3tpkpgqps3io","2023-11-08 19:01:20"
"998","241952191","133","1","ejimr1c9gs5o0dim38tm2nevh5","2023-11-08 19:38:25"
"999","106","133","1","s8gh6u314i2hhb1a4hh1t5k004","2023-11-08 19:47:05"
"1001","348790250","132","1","1vptd9e3udtjb13a6rltkftouf","2023-11-08 20:05:50"
"1002","901611431","132","1","in4tij09n28f9da9e33i83o2p1","2023-11-08 23:33:59"
"1003","772464192","132","1","3uo8phq51aim0ap06uudjpijol","2023-11-08 23:35:13"
"1004","587109263","131","1","gioubetcrj3no995ld8opspqdl","2023-11-09 00:53:32"
"1005","587109263","141","1","gioubetcrj3no995ld8opspqdl","2023-11-09 00:54:21"
"1006","48","133","1","40du1sr4suhh38rchpgbegif53","2023-11-09 09:40:51"
"1007","361769558","131","2","aehl1rh0vd9o94p02d1br3so9h","2023-11-09 10:03:54"
"1008","635273501","132","2","f21s1tgibrfkhc2ftbg881sjeg","2023-11-09 11:04:19"
"1009","309953255","131","1","lqcup1jstccqop6cdj0vapnf4u","2023-11-09 11:56:56"
"1010","404532939","132","2","qf8llm64ne0egahce7lr8edffv","2023-11-09 12:08:08"
"1011","227422506","132","1","po97a1q2no1iu58j650rrjk7ek","2023-11-09 14:58:52"
"1012","20","147","1","40397roai1bdum0uibaaqeevff","2023-11-09 16:28:09"
"1013","584366595","131","2","qb3tur3k8r25gnliqsfim0jv5j","2023-11-09 18:05:50"
"1014","476547109","131","3","t0dbdv6gl3qpbobqsufea41l70","2023-11-09 18:31:15"
"1015","655660188","131","1","v5o2mfp5b3tclssoqrbk5t690u","2023-11-09 18:44:03"
"1016","200559032","131","1","fco83vdmrkhfc513agtoqi92oo","2023-11-09 18:58:05"
"1017","193061567","143","1","g4vbg8cl3t48p5qe83jjdr74qm","2023-11-09 20:39:32"
"1018","139971843","133","1","ui373nt99igf9mer46tnht7fs7","2023-11-09 22:42:56"
"1019","112","150","1","q9nsfpfcfsalp4q70594dik97l","2023-11-09 23:31:13"
"1020","698931642","141","1","ljvqd2fs7bj6kpalqi2fa113cr","2023-11-10 00:14:26"
"1021","698931642","151","1","ljvqd2fs7bj6kpalqi2fa113cr","2023-11-10 00:14:35"
"1022","112","154","1","q9nsfpfcfsalp4q70594dik97l","2023-11-10 00:57:15"
"1023","111","131","1","e8bbgo4d4t7somtlemetejgc2g","2023-11-10 03:10:21"
"1024","323379985","132","1","9t2ovje6cqhfqo8793dhjsggk8","2023-11-10 08:40:35"
"1025","476529550","134","1","k28aphi4regd0m693etdj9e0gq","2023-11-10 10:27:52"
"1026","517481644","131","1","js39vrevd9l84bi4m2e2tbmjts","2023-11-10 10:46:15"
"1027","98","130","1","rj6p48irjnrkjjr9os580jc9bm","2023-11-10 13:42:31"
"1028","98","131","1","rj6p48irjnrkjjr9os580jc9bm","2023-11-10 13:42:35"
"1029","889388374","152","1","vo6qvoqutt2b2va59muj8bfnqu","2023-11-10 14:50:59"
"1030","596947230","132","1","b4mcdj5r18ph0i0o7nl1vfbiun","2023-11-10 16:36:07"
"1031","81","131","1","q9k0q11t5vk4p44snv9k2in241","2023-11-10 16:58:46"
"1032","904420711","131","1","jm9agbggc6dqh0psaarpdv8fo5","2023-11-10 17:02:14"
"1033","81","131","1","1dcdigisj14j3vt9vq5vegcrd6","2023-11-10 17:05:30"
"1034","398485732","131","2","caub9ce3avpmp49hitdki3iken","2023-11-10 17:08:11"
"1035","408891670","141","1","753sop3ih6b5iu8ph8l163ba92","2023-11-10 18:35:29"
"1036","105061862","132","1","odjmq08f4h17jlm0adpe1n0q43","2023-11-10 18:42:57"
"1037","204369162","132","1","8tgeoqu8iinj3s1sbn4750c3tu","2023-11-10 21:44:20"
"1038","570103094","132","1","dkl6flt72jp7fekbtnfo6cjo05","2023-11-10 22:46:58"
"1039","764056033","134","1","6cam9nnrhdgeb3odg7f5vdpf2n","2023-11-11 09:01:13"
"1040","255608509","132","1","5hgiq5mfsqs26n96ocf9p9o1aq","2023-11-11 10:41:30"
"1041","130273891","131","1","k6cshtevt5pciv6tl7psh2p1jf","2023-11-11 11:28:09"
"1042","983212611","132","1","r00vb2ioud1a7bul724cqs1t9q","2023-11-11 11:49:16"
"1043","91","131","1","pohv1t2hm2qoro4gf3dgf0tgtb","2023-11-11 11:53:16"
"1044","627919428","132","1","tailkimlvp7af4kskomb5km0ss","2023-11-11 12:12:12"
"1045","547350588","131","1","5tgsqj16cbqef7u3kgmj7mg2gv","2023-11-11 13:34:37"
"1046","772943167","131","1","elu3l8gofe8f0lke68lpa64j8k","2023-11-11 13:49:27"
"1047","350307878","131","1","fpit6e7ih4qjaetrkmppgsquui","2023-11-11 14:19:04"
"1048","17","131","1","ro4tvmomtesrf1v5c5vs70rgpi","2023-11-11 14:41:01"
"1049","493844561","134","1","7m2dboie1mhrbvot8c5j1pe8sh","2023-11-11 15:58:12"
"1050","735528699","143","1","4l82o5lvq6o4t4odohqh8mm7uv","2023-11-11 17:36:43"
"1051","991570467","133","1","h5le130096kb5op9c0jlo4g43r","2023-11-11 19:27:33"
"1053","124007623","133","1","itlm2l8665jga9tg1864khkg27","2023-11-11 20:02:41"
"1054","80","143","1","68sge4dtees1t0fa9er7cstf41","2023-11-11 20:32:02"
"1055","80","133","1","68sge4dtees1t0fa9er7cstf41","2023-11-11 20:32:11"
"1056","80","147","1","68sge4dtees1t0fa9er7cstf41","2023-11-11 20:33:26"
"1057","80","152","1","68sge4dtees1t0fa9er7cstf41","2023-11-11 20:34:13"
"1058","80","146","1","68sge4dtees1t0fa9er7cstf41","2023-11-11 20:34:29"
"1059","120339136","133","1","2ivgrh5ntv1q7hfubh8dgijl3l","2023-11-11 20:56:52"
"1060","466407416","147","1","5cl82s461o1fnnlp63mr06hg8k","2023-11-11 20:59:57"
"1061","236767468","156","1","4smlu4m6qbob0ea39rf5qthb10","2023-11-11 21:05:24"
"1062","615367142","156","1","suktohnf5mnd96l63vptcfof8n","2023-11-11 22:53:59"
"1063","20","156","1","1c65k81bc7pudnlfnukeb64smd","2023-11-11 23:23:19"
"1064","20","157","1","1c65k81bc7pudnlfnukeb64smd","2023-11-11 23:23:58"
"1065","846451941","156","1","1kmj7500404gdkkahe2ncn9rji","2023-11-12 00:01:34"
"1066","146274703","156","1","a6jo0vr3tlu13jcgglk0gsifg7","2023-11-12 00:08:34"
"1067","403197484","134","2","aemk4ei7qdtcvmfn58t8nf95v7","2023-11-12 00:09:46"
"1068","789490099","139","1","25s6e3kp0pkrg0t8ko32b3svvu","2023-11-12 01:30:38"
"1070","464284107","157","2","1jonel95udjvglnmvlohatf3ib","2023-11-12 02:31:31"
"1071","302557021","162","1","u9865g1gisnoijju8t4l9dd629","2023-11-12 03:03:29"
"1072","693475905","141","1","cmr7134abk3m8gq2re3rhht083","2023-11-12 07:50:48"
"1073","693475905","151","1","cmr7134abk3m8gq2re3rhht083","2023-11-12 07:50:55"
"1074","693475905","152","1","cmr7134abk3m8gq2re3rhht083","2023-11-12 07:51:53"
"1075","693475905","159","1","cmr7134abk3m8gq2re3rhht083","2023-11-12 07:53:09"
"1076","693475905","156","1","cmr7134abk3m8gq2re3rhht083","2023-11-12 07:53:16"
"1077","693475905","162","1","cmr7134abk3m8gq2re3rhht083","2023-11-12 07:53:19"
"1078","609700447","162","1","oppgtq0o4j21sg5e2hftsdfjr6","2023-11-12 08:48:34"
"1079","609700447","156","1","oppgtq0o4j21sg5e2hftsdfjr6","2023-11-12 08:48:44"
"1080","815842918","134","1","6spffndi0arv2i6a01n2irisqv","2023-11-12 09:09:48"
"1081","262377587","156","1","e1m6kk7l093fr2n9hit6oor5kp","2023-11-12 11:20:25"
"1082","612402689","149","1","mnrorbbl7q3j0h2auim3ne3n0e","2023-11-12 11:38:04"
"1084","394672883","152","1","n87t14f5g4da8csod0tv3p3avh","2023-11-12 12:18:13"
"1085","741082507","156","1","rlru17dukguj8kqhsfasfmrvjl","2023-11-12 12:20:11"
"1086","125512445","133","1","pebqm8b569o6hca9g10drn73sf","2023-11-12 12:32:17"
"1087","794375524","141","1","nn17vd5qk59sdthm8h51t4pgoc","2023-11-12 12:36:15"
"1088","918466769","133","1","ocm15tie2uti61c928h3ul4k3l","2023-11-12 12:41:37"
"1089","208943030","141","1","vufe2dfnem4kpp4ibs02cdqb6b","2023-11-12 13:30:54"
"1090","181527762","134","1","g6o13i0clsr6mhnelieeksmv46","2023-11-12 15:14:27"
"1091","598157035","157","1","06njh2131deg1u0uf7uqs53kfm","2023-11-12 15:46:34"
"1092","598157035","162","1","06njh2131deg1u0uf7uqs53kfm","2023-11-12 15:46:39"
"1093","598157035","137","1","06njh2131deg1u0uf7uqs53kfm","2023-11-12 15:46:54"
"1094","88","155","1","06njh2131deg1u0uf7uqs53kfm","2023-11-12 15:49:50"
"1096","123895697","162","1","us2m2042usdff1nph1sd6urfbe","2023-11-12 16:04:28"
"1097","123895697","159","1","us2m2042usdff1nph1sd6urfbe","2023-11-12 16:04:31"
"1098","123895697","158","1","us2m2042usdff1nph1sd6urfbe","2023-11-12 16:04:35"
"1099","105","141","1","c2obbc0pn4p6picjuh7q392b75","2023-11-12 17:27:33"
"1100","983052627","141","1","lujevn36gtjb1565m26ki7p1s5","2023-11-12 18:11:09"
"1101","983052627","156","1","lujevn36gtjb1565m26ki7p1s5","2023-11-12 18:11:17"
"1102","983052627","159","1","lujevn36gtjb1565m26ki7p1s5","2023-11-12 18:11:54"
"1103","246739862","156","1","eefr29jdevi2e4ul30e14ufulr","2023-11-12 19:47:27"
"1104","140887375","156","1","qqs8fr4r0f5kqkbqbp5g43v9ok","2023-11-12 19:48:37"
"1105","353343686","156","1","2oorl8jenmgm8c1cdtba9llmoc","2023-11-12 19:51:58"
"1106","348324741","138","1","6ik5ukr4msc06lumgdci6sae3b","2023-11-12 20:34:12"
"1107","806399024","152","1","uka4ara1lip6osfei3g026hdbp","2023-11-12 21:02:29"
"1108","808703713","141","1","q17ski8d1otn6fu1l8iqo1qhdg","2023-11-12 22:13:30"
"1109","703332480","141","1","sd5240pafuc124mjt3q673upqu","2023-11-12 23:03:05"
"1110","394478949","152","1","74p8v0u7fltn3ftntdkdqe1jvn","2023-11-13 01:23:41"
"1113","783909640","152","1","4qnm3fe3jka8rjql5a1t01vjjf","2023-11-13 07:58:16"
"1114","849031758","138","1","e2auvoh6g0pppkst0cuq6ll3tq","2023-11-13 09:43:22"
"1115","547252011","152","1","ihf333i2csg4a51tgpdakqs999","2023-11-13 10:35:52"
"1116","837132339","147","1","h114vuuaj14g6dthbg7lljtkoj","2023-11-13 13:54:17"
"1117","846718401","156","1","2e6nj07oqu3vps2k2ognkjvmh6","2023-11-13 19:21:28"
"1118","846718401","159","1","2e6nj07oqu3vps2k2ognkjvmh6","2023-11-13 19:21:37"
"1119","665512020","152","1","i9l7riu3h1untp2rfs3fa81pr2","2023-11-13 20:42:20"
"1120","764891081","141","1","2c734ls44kntli2m1nmdf709lm","2023-11-13 21:41:24"
"1121","264039103","162","1","i7tno41e3rbe4dquf1i7p76vej","2023-11-13 22:50:39"
"1122","679813221","141","2","s27sk91ak47ilejdvlr6m6ch6u","2023-11-14 01:00:15"
"1123","248502757","156","1","91ct70vkp72bqe5afbsmpolosn","2023-11-14 09:16:18"
"1124","679113058","152","1","m84gvhnctt05p6idd8evv9fm0r","2023-11-14 10:53:06"
"1125","287530966","143","1","2p92jeb0jk51bkcmqrnrkn7l1c","2023-11-14 12:33:48"
"1126","341353047","143","1","d3eab3rjuvgehr5eviasmie1bo","2023-11-14 12:43:41"
"1127","455960913","141","1","qcoii73lqbr8kgklkul6tjt09j","2023-11-14 13:00:26"
"1128","111751298","141","1","jbb5rugjc2sumn8j9gu6scgno2","2023-11-14 13:03:58"
"1129","971610744","141","1","1h3hm1hafrbv4ljhbm2j3mcf34","2023-11-14 13:05:15"
"1130","5","146","1","83t6nc7n53f2f0co9bg8oig5or","2023-11-14 13:55:42"
"1131","5","159","1","83t6nc7n53f2f0co9bg8oig5or","2023-11-14 13:57:34"
"1132","60","137","2","u5a6mql4gbg8m79i0fva0gs2s5","2023-11-14 15:05:39"
"1133","166460016","147","1","3slihbfcupflnqpo1fpmu32kcv","2023-11-14 16:04:10"
"1134","370431852","139","1","2reclivn77q1e5flhb4a8sn9id","2023-11-14 16:58:04"
"1135","3","139","1","cqrtek318ujbr1gfpbhgsmofgs","2023-11-14 17:08:13"
"1136","927279170","140","1","8i84fteudmfp9fjtfq7km250v0","2023-11-14 18:35:05"
"1137","969016592","146","1","mr8psatmi9gm9e63nb735ag0qd","2023-11-14 19:29:44"
"1138","860215778","156","1","88g02gvbo6tsauk96agdhl4hac","2023-11-14 19:49:11"
"1139","935232452","159","1","9h1e4juuh8ijqn27um6ci336hr","2023-11-14 20:19:17"
"1140","942738408","143","1","q642qt54j5o513n8d6nec1rmml","2023-11-14 21:33:11"
"1141","344412051","156","1","95rcilromjkhet5kgg148ogbbm","2023-11-14 21:42:31"
"1142","606576786","139","1","4pgmjhafhi39l9redv0tfkln22","2023-11-14 22:08:16"
"1143","520930398","154","1","fjvlv63a1l9ho356jds3113lrs","2023-11-14 22:08:21"
"1144","606576786","156","1","4pgmjhafhi39l9redv0tfkln22","2023-11-14 22:08:28"
"1145","524057242","141","1","uu9n40bn5026bv60lqokfuorkg","2023-11-14 22:56:34"
"1146","277813336","161","1","cga1aqc6dlfco02nsl2dptjq4e","2023-11-14 23:13:38"
"1147","996889220","147","1","m4kioj05ha0j39nodmkq9iqhib","2023-11-14 23:15:37"
"1149","404061271","145","1","8e1qsq8bb85mu0vutu8asea32e","2023-11-15 05:55:53"
"1150","404061271","139","2","8e1qsq8bb85mu0vutu8asea32e","2023-11-15 05:58:07"
"1151","713964375","139","1","sthn84tevmvl1t6cmong2vb6ur","2023-11-15 06:07:47"
"1152","127","141","1","aepqq0d6ohfv8kci24a50t418m","2023-11-15 11:02:06"
"1153","341166821","156","1","550di80th7r1sduplib7v9voho","2023-11-15 12:31:00"
"1154","631955587","139","1","ab6f7m51ernpcd0rkafihtkn3j","2023-11-15 12:32:16"
"1155","631955587","155","1","ab6f7m51ernpcd0rkafihtkn3j","2023-11-15 12:32:23"
"1156","521038282","141","1","0omoppgn4ks8ejuab30e3lbjmb","2023-11-15 13:10:20"
"1157","780300718","147","1","vn1bqdrsogkaaakn9e09rhmmbj","2023-11-15 13:33:55"
"1158","104103362","139","1","tniq10io534kdfobmukb4ur1iq","2023-11-15 14:23:49"
"1159","920564438","139","1","6kobndneptvjo1i1ou3iemsb0t","2023-11-15 14:23:53"
"1160","766071187","159","1","v65s5eqmv0kpu1g14jo4iukclr","2023-11-15 15:08:35"
"1161","561527551","159","1","i0s5f9iigv4pl169jtldio4mqo","2023-11-15 15:24:07"
"1162","106767709","138","1","6mo78l676cgacf1bucqn9d0e2b","2023-11-15 17:04:53"
"1163","309870193","138","1","oucghfgk0djs203g22glrifpj7","2023-11-15 17:37:55"
"1164","101","147","1","pp3h339r8e2qetbv5nv1o9v8cr","2023-11-15 19:03:27"
"1165","131","141","1","iirfut7sib28lp0hd47lf177pv","2023-11-15 19:51:51"
"1166","333877487","141","1","i1od8oc4bsp506hrvjpgkkh2c3","2023-11-15 20:33:43"
"1167","919344109","156","1","de3nemrlf3vd88unrkivfa55bf","2023-11-15 20:48:01"
"1168","919344109","161","1","de3nemrlf3vd88unrkivfa55bf","2023-11-15 20:48:42"
"1169","919344109","152","1","de3nemrlf3vd88unrkivfa55bf","2023-11-15 20:48:57"
"1170","705383763","139","1","92gcp2jund65fnb47a9jk73cr5","2023-11-15 21:12:24"
"1171","900510588","139","1","jrvd5fp6m2hjmdma3bgcl5thm2","2023-11-15 21:15:00"
"1172","766664631","143","1","nl6tue5bkaqggd866ia7vn7ihr","2023-11-15 22:44:09"
"1173","883480531","159","1","21mpp9kjhmil70vumd36h0p6db","2023-11-15 22:52:25"
