split,group,metric,model_name,value,delta(XGB-ALS),better,als_diagnosis,xgb_diagnosis
TEST,REGISTERED,precision@5,XGBoost Hybrid,0.0214,+0.0159,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,recall@5,ALS Hybrid,0.0205,+0.0735,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,recall@5,XGBoost Hybrid,0.094,+0.0735,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,ndcg@5,ALS Hybrid,0.0085,+0.0473,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,ndcg@5,XGBoost Hybrid,0.0558,+0.0473,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,mrr,ALS Hybrid,0.0055,+0.0411,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,mrr,XGBoost Hybrid,0.0466,+0.0411,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,coverage_pct,ALS Hybrid,54.42,+0.8900,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,coverage_pct,XGBoost Hybrid,55.31,+0.8900,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,coverage_count,ALS Hybrid,123.0,+2.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,coverage_count,XGBoost Hybrid,125.0,+2.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,novelty,ALS Hybrid,2.1324,+0.2491,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,novelty,XGBoost Hybrid,2.3815,+0.2491,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,users_evaluated,ALS Hybrid,73.0,+39.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,users_evaluated,XGBoost Hybrid,112.0,+39.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,precision@5,ALS Hybrid,0.0242,-0.0121,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,precision@5,XGBoost Hybrid,0.0121,-0.0121,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,recall@5,ALS Hybrid,0.1212,-0.0606,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,recall@5,XGBoost Hybrid,0.0606,-0.0606,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,ndcg@5,ALS Hybrid,0.0758,-0.0510,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,ndcg@5,XGBoost Hybrid,0.0248,-0.0510,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,mrr,ALS Hybrid,0.0606,-0.0470,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,mrr,XGBoost Hybrid,0.0136,-0.0470,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,coverage_pct,ALS Hybrid,2.21,+32.3000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,coverage_pct,XGBoost Hybrid,34.51,+32.3000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,coverage_count,ALS Hybrid,5.0,+73.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,coverage_count,XGBoost Hybrid,78.0,+73.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,novelty,ALS Hybrid,0.1855,+3.2586,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,novelty,XGBoost Hybrid,3.4441,+3.2586,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,users_evaluated,ALS Hybrid,33.0,+0.0000,Tie,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,GUEST,users_evaluated,XGBoost Hybrid,33.0,+0.0000,Tie,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
